dataset	estimator	fit_score_time	fit_score_time_rank	fit_score_time_victories	fit_time	fit_time_rank	fit_time_victories	score_time	score_time_rank	score_time_victories	test_accuracy	test_accuracy_rank	test_accuracy_victories	test_f1_macro	test_f1_macro_rank	test_f1_macro_victories	test_f1_micro	test_f1_micro_rank	test_f1_micro_victories	test_f1_samples	test_f1_samples_rank	test_f1_samples_victories	test_f1_weighted	test_f1_weighted_rank	test_f1_weighted_victories	test_jaccard_macro	test_jaccard_macro_rank	test_jaccard_macro_victories	test_jaccard_micro	test_jaccard_micro_rank	test_jaccard_micro_victories	test_jaccard_samples	test_jaccard_samples_rank	test_jaccard_samples_victories	test_jaccard_weighted	test_jaccard_weighted_rank	test_jaccard_weighted_victories	test_precision_macro	test_precision_macro_rank	test_precision_macro_victories	test_precision_micro	test_precision_micro_rank	test_precision_micro_victories	test_precision_samples	test_precision_samples_rank	test_precision_samples_victories	test_precision_weighted	test_precision_weighted_rank	test_precision_weighted_victories	test_recall_macro	test_recall_macro_rank	test_recall_macro_victories	test_recall_micro	test_recall_micro_rank	test_recall_micro_victories	test_recall_samples	test_recall_samples_rank	test_recall_samples_victories	test_recall_weighted	test_recall_weighted_rank	test_recall_weighted_victories
birds	embedding_proba__1	6.38 (0.2)	0.1 (0.0)	0.0 (0.0)	5.48 (0.17)	0.1 (0.0)	0.0 (0.0)	0.9 (0.05)	0.1 (0.0)	0.0 (0.0)	0.56 (0.02)	0.62 (0.36)	0.4 (0.55)	0.26 (0.05)	0.52 (0.37)	0.2 (0.45)	0.42 (0.04)	0.5 (0.32)	0.0 (0.0)	0.15 (0.02)	0.4 (0.25)	0.0 (0.0)	0.36 (0.05)	0.52 (0.33)	0.2 (0.45)	0.18 (0.04)	0.56 (0.4)	0.2 (0.45)	0.26 (0.03)	0.5 (0.32)	0.0 (0.0)	0.13 (0.02)	0.38 (0.27)	0.0 (0.0)	0.26 (0.04)	0.54 (0.34)	0.0 (0.0)	0.54 (0.1)	0.6 (0.31)	0.2 (0.45)	0.87 (0.02)	0.88 (0.08)	0.2 (0.45)	0.19 (0.02)	0.31 (0.21)	0.0 (0.0)	0.63 (0.08)	0.58 (0.28)	0.2 (0.45)	0.19 (0.04)	0.52 (0.37)	0.2 (0.45)	0.27 (0.04)	0.5 (0.32)	0.0 (0.0)	0.13 (0.02)	0.38 (0.26)	0.0 (0.0)	0.27 (0.04)	0.5 (0.32)	0.0 (0.0)
birds	embedding_proba__10	43.07 (0.85)	1.0 (0.0)	1.0 (0.0)	37.88 (0.88)	1.0 (0.0)	1.0 (0.0)	5.19 (0.08)	1.0 (0.0)	1.0 (0.0)	0.56 (0.05)	0.55 (0.35)	0.0 (0.0)	0.26 (0.04)	0.54 (0.32)	0.0 (0.0)	0.42 (0.05)	0.52 (0.34)	0.2 (0.45)	0.16 (0.03)	0.52 (0.35)	0.2 (0.45)	0.36 (0.05)	0.56 (0.27)	0.0 (0.0)	0.18 (0.03)	0.58 (0.31)	0.0 (0.0)	0.27 (0.04)	0.52 (0.34)	0.2 (0.45)	0.14 (0.03)	0.54 (0.36)	0.2 (0.45)	0.26 (0.04)	0.54 (0.32)	0.2 (0.45)	0.49 (0.08)	0.44 (0.21)	0.0 (0.0)	0.81 (0.03)	0.49 (0.11)	0.0 (0.0)	0.22 (0.03)	0.55 (0.33)	0.2 (0.45)	0.6 (0.06)	0.46 (0.17)	0.0 (0.0)	0.19 (0.03)	0.58 (0.31)	0.0 (0.0)	0.28 (0.04)	0.51 (0.34)	0.2 (0.45)	0.14 (0.03)	0.54 (0.38)	0.2 (0.45)	0.28 (0.04)	0.51 (0.34)	0.2 (0.45)
birds	embedding_proba__2	11.06 (0.28)	0.2 (0.0)	0.0 (0.0)	9.64 (0.29)	0.2 (0.0)	0.0 (0.0)	1.42 (0.02)	0.2 (0.0)	0.0 (0.0)	0.55 (0.02)	0.58 (0.29)	0.0 (0.0)	0.27 (0.02)	0.62 (0.26)	0.0 (0.0)	0.41 (0.04)	0.54 (0.29)	0.0 (0.0)	0.16 (0.02)	0.44 (0.25)	0.0 (0.0)	0.36 (0.03)	0.56 (0.34)	0.2 (0.45)	0.18 (0.02)	0.54 (0.21)	0.0 (0.0)	0.26 (0.03)	0.54 (0.29)	0.0 (0.0)	0.14 (0.01)	0.5 (0.28)	0.0 (0.0)	0.26 (0.03)	0.56 (0.27)	0.0 (0.0)	0.55 (0.06)	0.66 (0.3)	0.0 (0.0)	0.85 (0.03)	0.7 (0.24)	0.2 (0.45)	0.2 (0.03)	0.43 (0.26)	0.0 (0.0)	0.65 (0.05)	0.68 (0.34)	0.2 (0.45)	0.19 (0.02)	0.54 (0.27)	0.0 (0.0)	0.28 (0.04)	0.54 (0.29)	0.0 (0.0)	0.14 (0.01)	0.46 (0.32)	0.0 (0.0)	0.28 (0.04)	0.54 (0.29)	0.0 (0.0)
birds	embedding_proba__3	14.53 (0.51)	0.3 (0.0)	0.0 (0.0)	12.6 (0.47)	0.3 (0.0)	0.0 (0.0)	1.93 (0.08)	0.3 (0.0)	0.0 (0.0)	0.55 (0.03)	0.51 (0.29)	0.0 (0.0)	0.26 (0.03)	0.58 (0.29)	0.2 (0.45)	0.42 (0.04)	0.58 (0.29)	0.0 (0.0)	0.16 (0.01)	0.5 (0.2)	0.0 (0.0)	0.36 (0.04)	0.64 (0.29)	0.0 (0.0)	0.18 (0.02)	0.66 (0.34)	0.2 (0.45)	0.27 (0.03)	0.58 (0.29)	0.0 (0.0)	0.14 (0.01)	0.48 (0.18)	0.0 (0.0)	0.26 (0.03)	0.56 (0.27)	0.0 (0.0)	0.51 (0.07)	0.54 (0.3)	0.2 (0.45)	0.84 (0.06)	0.53 (0.33)	0.2 (0.45)	0.2 (0.02)	0.5 (0.22)	0.0 (0.0)	0.62 (0.07)	0.54 (0.34)	0.0 (0.0)	0.19 (0.02)	0.6 (0.32)	0.2 (0.45)	0.28 (0.03)	0.57 (0.27)	0.0 (0.0)	0.14 (0.01)	0.52 (0.13)	0.0 (0.0)	0.28 (0.03)	0.57 (0.27)	0.0 (0.0)
birds	embedding_proba__4	19.04 (0.46)	0.4 (0.0)	0.0 (0.0)	16.67 (0.54)	0.4 (0.0)	0.0 (0.0)	2.37 (0.14)	0.4 (0.0)	0.0 (0.0)	0.54 (0.01)	0.37 (0.12)	0.0 (0.0)	0.25 (0.05)	0.48 (0.39)	0.2 (0.45)	0.39 (0.08)	0.48 (0.44)	0.2 (0.45)	0.15 (0.03)	0.44 (0.42)	0.0 (0.0)	0.34 (0.06)	0.48 (0.44)	0.2 (0.45)	0.17 (0.04)	0.46 (0.45)	0.2 (0.45)	0.25 (0.06)	0.48 (0.44)	0.2 (0.45)	0.13 (0.03)	0.46 (0.45)	0.2 (0.45)	0.24 (0.06)	0.48 (0.44)	0.2 (0.45)	0.53 (0.07)	0.6 (0.25)	0.2 (0.45)	0.81 (0.05)	0.51 (0.29)	0.0 (0.0)	0.2 (0.04)	0.48 (0.43)	0.2 (0.45)	0.63 (0.09)	0.52 (0.33)	0.2 (0.45)	0.18 (0.04)	0.46 (0.45)	0.2 (0.45)	0.26 (0.06)	0.5 (0.46)	0.4 (0.55)	0.13 (0.03)	0.44 (0.42)	0.0 (0.0)	0.26 (0.06)	0.5 (0.46)	0.4 (0.55)
birds	embedding_proba__5	23.23 (0.88)	0.5 (0.0)	0.0 (0.0)	20.26 (0.87)	0.5 (0.0)	0.0 (0.0)	2.96 (0.14)	0.5 (0.0)	0.0 (0.0)	0.56 (0.03)	0.59 (0.29)	0.0 (0.0)	0.27 (0.03)	0.62 (0.26)	0.0 (0.0)	0.43 (0.04)	0.64 (0.34)	0.2 (0.45)	0.17 (0.01)	0.74 (0.11)	0.0 (0.0)	0.37 (0.03)	0.62 (0.27)	0.0 (0.0)	0.19 (0.01)	0.62 (0.13)	0.0 (0.0)	0.27 (0.03)	0.64 (0.34)	0.2 (0.45)	0.15 (0.01)	0.78 (0.11)	0.0 (0.0)	0.27 (0.03)	0.64 (0.34)	0.2 (0.45)	0.53 (0.13)	0.56 (0.38)	0.0 (0.0)	0.82 (0.03)	0.4 (0.25)	0.0 (0.0)	0.22 (0.02)	0.65 (0.26)	0.2 (0.45)	0.63 (0.1)	0.56 (0.38)	0.0 (0.0)	0.2 (0.02)	0.58 (0.19)	0.0 (0.0)	0.29 (0.04)	0.68 (0.35)	0.2 (0.45)	0.15 (0.01)	0.78 (0.11)	0.0 (0.0)	0.29 (0.04)	0.68 (0.35)	0.2 (0.45)
birds	embedding_proba__6	26.39 (0.76)	0.6 (0.0)	0.0 (0.0)	23.01 (0.75)	0.6 (0.0)	0.0 (0.0)	3.38 (0.08)	0.6 (0.0)	0.0 (0.0)	0.56 (0.05)	0.58 (0.38)	0.0 (0.0)	0.27 (0.04)	0.54 (0.23)	0.0 (0.0)	0.43 (0.03)	0.6 (0.21)	0.0 (0.0)	0.17 (0.02)	0.68 (0.22)	0.2 (0.45)	0.37 (0.03)	0.58 (0.23)	0.0 (0.0)	0.19 (0.02)	0.58 (0.22)	0.0 (0.0)	0.27 (0.02)	0.6 (0.21)	0.0 (0.0)	0.15 (0.02)	0.62 (0.19)	0.0 (0.0)	0.26 (0.02)	0.58 (0.22)	0.0 (0.0)	0.53 (0.1)	0.58 (0.28)	0.0 (0.0)	0.82 (0.04)	0.48 (0.23)	0.0 (0.0)	0.22 (0.01)	0.75 (0.16)	0.2 (0.45)	0.63 (0.1)	0.6 (0.3)	0.0 (0.0)	0.2 (0.02)	0.6 (0.19)	0.0 (0.0)	0.29 (0.02)	0.6 (0.16)	0.0 (0.0)	0.15 (0.02)	0.66 (0.24)	0.2 (0.45)	0.29 (0.02)	0.6 (0.16)	0.0 (0.0)
birds	embedding_proba__7	30.86 (0.43)	0.7 (0.0)	0.0 (0.0)	27.05 (0.46)	0.7 (0.0)	0.0 (0.0)	3.81 (0.05)	0.7 (0.0)	0.0 (0.0)	0.56 (0.02)	0.57 (0.13)	0.0 (0.0)	0.26 (0.05)	0.58 (0.37)	0.2 (0.45)	0.43 (0.04)	0.58 (0.27)	0.2 (0.45)	0.17 (0.02)	0.6 (0.35)	0.2 (0.45)	0.37 (0.05)	0.52 (0.34)	0.2 (0.45)	0.18 (0.03)	0.54 (0.36)	0.2 (0.45)	0.27 (0.04)	0.58 (0.27)	0.2 (0.45)	0.15 (0.02)	0.62 (0.29)	0.2 (0.45)	0.27 (0.03)	0.6 (0.25)	0.2 (0.45)	0.52 (0.13)	0.56 (0.43)	0.2 (0.45)	0.84 (0.06)	0.54 (0.38)	0.2 (0.45)	0.23 (0.03)	0.64 (0.36)	0.2 (0.45)	0.64 (0.1)	0.62 (0.36)	0.2 (0.45)	0.2 (0.04)	0.54 (0.39)	0.2 (0.45)	0.29 (0.05)	0.56 (0.29)	0.2 (0.45)	0.15 (0.02)	0.62 (0.24)	0.2 (0.45)	0.29 (0.05)	0.56 (0.29)	0.2 (0.45)
birds	embedding_proba__8	35.69 (0.54)	0.8 (0.0)	0.0 (0.0)	31.24 (0.56)	0.8 (0.0)	0.0 (0.0)	4.45 (0.07)	0.8 (0.0)	0.0 (0.0)	0.56 (0.06)	0.6 (0.43)	0.4 (0.55)	0.27 (0.05)	0.56 (0.36)	0.2 (0.45)	0.44 (0.04)	0.66 (0.36)	0.2 (0.45)	0.17 (0.03)	0.66 (0.38)	0.2 (0.45)	0.38 (0.04)	0.66 (0.34)	0.2 (0.45)	0.19 (0.03)	0.58 (0.34)	0.2 (0.45)	0.28 (0.03)	0.66 (0.36)	0.2 (0.45)	0.15 (0.03)	0.6 (0.39)	0.2 (0.45)	0.27 (0.03)	0.64 (0.38)	0.2 (0.45)	0.51 (0.12)	0.46 (0.35)	0.2 (0.45)	0.83 (0.06)	0.63 (0.39)	0.2 (0.45)	0.22 (0.03)	0.67 (0.29)	0.0 (0.0)	0.63 (0.11)	0.52 (0.29)	0.2 (0.45)	0.2 (0.03)	0.62 (0.34)	0.2 (0.45)	0.3 (0.03)	0.64 (0.34)	0.0 (0.0)	0.15 (0.02)	0.6 (0.39)	0.2 (0.45)	0.3 (0.03)	0.64 (0.34)	0.0 (0.0)
birds	embedding_proba__9	39.67 (0.84)	0.9 (0.0)	0.0 (0.0)	34.84 (1.01)	0.9 (0.0)	0.0 (0.0)	4.83 (0.26)	0.9 (0.0)	0.0 (0.0)	0.55 (0.02)	0.53 (0.31)	0.0 (0.0)	0.25 (0.02)	0.46 (0.26)	0.0 (0.0)	0.4 (0.03)	0.4 (0.16)	0.0 (0.0)	0.16 (0.02)	0.52 (0.29)	0.2 (0.45)	0.35 (0.02)	0.36 (0.15)	0.0 (0.0)	0.17 (0.01)	0.38 (0.16)	0.0 (0.0)	0.25 (0.02)	0.4 (0.16)	0.0 (0.0)	0.14 (0.02)	0.52 (0.29)	0.2 (0.45)	0.24 (0.02)	0.36 (0.18)	0.0 (0.0)	0.48 (0.08)	0.5 (0.25)	0.0 (0.0)	0.8 (0.04)	0.34 (0.27)	0.0 (0.0)	0.21 (0.02)	0.52 (0.27)	0.0 (0.0)	0.59 (0.06)	0.42 (0.26)	0.0 (0.0)	0.19 (0.01)	0.46 (0.21)	0.0 (0.0)	0.27 (0.02)	0.4 (0.16)	0.0 (0.0)	0.14 (0.02)	0.5 (0.3)	0.2 (0.45)	0.27 (0.02)	0.4 (0.16)	0.0 (0.0)
