dataset	estimator	fit_score_time	fit_score_time_rank	fit_score_time_victories	fit_time	fit_time_rank	fit_time_victories	score_time	score_time_rank	score_time_victories	test_accuracy	test_accuracy_rank	test_accuracy_victories	test_f1_macro	test_f1_macro_rank	test_f1_macro_victories	test_f1_micro	test_f1_micro_rank	test_f1_micro_victories	test_f1_samples	test_f1_samples_rank	test_f1_samples_victories	test_f1_weighted	test_f1_weighted_rank	test_f1_weighted_victories	test_jaccard_macro	test_jaccard_macro_rank	test_jaccard_macro_victories	test_jaccard_micro	test_jaccard_micro_rank	test_jaccard_micro_victories	test_jaccard_samples	test_jaccard_samples_rank	test_jaccard_samples_victories	test_jaccard_weighted	test_jaccard_weighted_rank	test_jaccard_weighted_victories	test_precision_macro	test_precision_macro_rank	test_precision_macro_victories	test_precision_micro	test_precision_micro_rank	test_precision_micro_victories	test_precision_samples	test_precision_samples_rank	test_precision_samples_victories	test_precision_weighted	test_precision_weighted_rank	test_precision_weighted_victories	test_recall_macro	test_recall_macro_rank	test_recall_macro_victories	test_recall_micro	test_recall_micro_rank	test_recall_micro_victories	test_recall_samples	test_recall_samples_rank	test_recall_samples_victories	test_recall_weighted	test_recall_weighted_rank	test_recall_weighted_victories
VirusGO	embedding_proba__1	3.1 (0.08)	0.1 (0.0)	0.0 (0.0)	2.57 (0.08)	0.1 (0.0)	0.0 (0.0)	0.53 (0.02)	0.1 (0.0)	0.0 (0.0)	0.78 (0.05)	0.65 (0.28)	0.2 (0.45)	0.83 (0.06)	0.58 (0.37)	0.2 (0.45)	0.85 (0.04)	0.68 (0.25)	0.2 (0.45)	0.84 (0.04)	0.62 (0.28)	0.0 (0.0)	0.84 (0.04)	0.64 (0.27)	0.2 (0.45)	0.74 (0.07)	0.54 (0.39)	0.2 (0.45)	0.75 (0.06)	0.68 (0.25)	0.2 (0.45)	0.82 (0.04)	0.62 (0.28)	0.0 (0.0)	0.75 (0.06)	0.68 (0.25)	0.2 (0.45)	0.95 (0.04)	0.61 (0.34)	0.0 (0.0)	0.92 (0.05)	0.64 (0.32)	0.0 (0.0)	0.86 (0.05)	0.59 (0.28)	0.0 (0.0)	0.92 (0.05)	0.64 (0.28)	0.0 (0.0)	0.77 (0.07)	0.56 (0.34)	0.0 (0.0)	0.8 (0.05)	0.58 (0.3)	0.2 (0.45)	0.83 (0.03)	0.56 (0.26)	0.0 (0.0)	0.8 (0.05)	0.58 (0.3)	0.2 (0.45)
VirusGO	embedding_proba__10	18.63 (0.3)	1.0 (0.0)	1.0 (0.0)	15.39 (0.34)	1.0 (0.0)	1.0 (0.0)	3.24 (0.06)	1.0 (0.0)	1.0 (0.0)	0.74 (0.06)	0.49 (0.37)	0.0 (0.0)	0.8 (0.08)	0.48 (0.32)	0.0 (0.0)	0.83 (0.04)	0.45 (0.22)	0.0 (0.0)	0.82 (0.05)	0.44 (0.35)	0.2 (0.45)	0.82 (0.05)	0.4 (0.25)	0.0 (0.0)	0.7 (0.08)	0.44 (0.31)	0.0 (0.0)	0.71 (0.05)	0.45 (0.22)	0.0 (0.0)	0.8 (0.05)	0.42 (0.37)	0.2 (0.45)	0.71 (0.06)	0.44 (0.22)	0.0 (0.0)	0.89 (0.1)	0.42 (0.2)	0.0 (0.0)	0.9 (0.02)	0.45 (0.15)	0.0 (0.0)	0.85 (0.05)	0.46 (0.35)	0.2 (0.45)	0.89 (0.05)	0.42 (0.24)	0.0 (0.0)	0.74 (0.08)	0.46 (0.38)	0.2 (0.45)	0.77 (0.05)	0.4 (0.26)	0.0 (0.0)	0.81 (0.06)	0.44 (0.37)	0.2 (0.45)	0.77 (0.05)	0.4 (0.26)	0.0 (0.0)
VirusGO	embedding_proba__2	4.93 (0.15)	0.2 (0.0)	0.0 (0.0)	4.05 (0.13)	0.2 (0.0)	0.0 (0.0)	0.88 (0.04)	0.2 (0.0)	0.0 (0.0)	0.78 (0.07)	0.61 (0.37)	0.4 (0.55)	0.82 (0.07)	0.58 (0.3)	0.2 (0.45)	0.84 (0.06)	0.59 (0.37)	0.2 (0.45)	0.84 (0.04)	0.58 (0.26)	0.0 (0.0)	0.83 (0.06)	0.58 (0.36)	0.2 (0.45)	0.73 (0.07)	0.62 (0.33)	0.2 (0.45)	0.73 (0.08)	0.59 (0.37)	0.2 (0.45)	0.82 (0.04)	0.58 (0.31)	0.2 (0.45)	0.73 (0.09)	0.6 (0.38)	0.4 (0.55)	0.91 (0.09)	0.54 (0.39)	0.2 (0.45)	0.91 (0.05)	0.56 (0.38)	0.2 (0.45)	0.86 (0.03)	0.55 (0.28)	0.0 (0.0)	0.91 (0.07)	0.58 (0.37)	0.2 (0.45)	0.76 (0.07)	0.62 (0.36)	0.2 (0.45)	0.78 (0.07)	0.58 (0.4)	0.4 (0.55)	0.83 (0.04)	0.54 (0.3)	0.0 (0.0)	0.78 (0.07)	0.58 (0.4)	0.4 (0.55)
VirusGO	embedding_proba__3	6.67 (0.24)	0.3 (0.0)	0.0 (0.0)	5.5 (0.24)	0.3 (0.0)	0.0 (0.0)	1.17 (0.04)	0.3 (0.0)	0.0 (0.0)	0.76 (0.06)	0.6 (0.33)	0.2 (0.45)	0.83 (0.06)	0.56 (0.39)	0.2 (0.45)	0.84 (0.03)	0.58 (0.36)	0.2 (0.45)	0.83 (0.03)	0.54 (0.25)	0.0 (0.0)	0.84 (0.04)	0.6 (0.37)	0.2 (0.45)	0.74 (0.07)	0.58 (0.36)	0.2 (0.45)	0.73 (0.05)	0.58 (0.36)	0.2 (0.45)	0.81 (0.04)	0.54 (0.31)	0.2 (0.45)	0.73 (0.05)	0.6 (0.37)	0.2 (0.45)	0.94 (0.04)	0.5 (0.3)	0.0 (0.0)	0.91 (0.03)	0.55 (0.27)	0.0 (0.0)	0.85 (0.03)	0.59 (0.3)	0.2 (0.45)	0.91 (0.03)	0.52 (0.28)	0.0 (0.0)	0.77 (0.07)	0.58 (0.35)	0.2 (0.45)	0.79 (0.04)	0.57 (0.31)	0.0 (0.0)	0.82 (0.04)	0.58 (0.26)	0.0 (0.0)	0.79 (0.04)	0.57 (0.31)	0.0 (0.0)
VirusGO	embedding_proba__4	8.66 (0.28)	0.4 (0.0)	0.0 (0.0)	7.19 (0.29)	0.4 (0.0)	0.0 (0.0)	1.47 (0.05)	0.4 (0.0)	0.0 (0.0)	0.77 (0.05)	0.54 (0.36)	0.2 (0.45)	0.82 (0.08)	0.6 (0.39)	0.2 (0.45)	0.84 (0.06)	0.57 (0.4)	0.2 (0.45)	0.82 (0.06)	0.6 (0.39)	0.4 (0.55)	0.83 (0.07)	0.6 (0.41)	0.4 (0.55)	0.72 (0.09)	0.6 (0.39)	0.2 (0.45)	0.72 (0.09)	0.57 (0.4)	0.2 (0.45)	0.81 (0.05)	0.62 (0.39)	0.4 (0.55)	0.72 (0.09)	0.58 (0.38)	0.2 (0.45)	0.93 (0.04)	0.57 (0.27)	0.0 (0.0)	0.9 (0.03)	0.59 (0.31)	0.2 (0.45)	0.85 (0.05)	0.53 (0.31)	0.0 (0.0)	0.91 (0.03)	0.52 (0.33)	0.0 (0.0)	0.76 (0.1)	0.58 (0.36)	0.0 (0.0)	0.78 (0.09)	0.59 (0.37)	0.2 (0.45)	0.82 (0.06)	0.58 (0.41)	0.4 (0.55)	0.78 (0.09)	0.59 (0.37)	0.2 (0.45)
VirusGO	embedding_proba__5	10.3 (0.28)	0.5 (0.0)	0.0 (0.0)	8.47 (0.25)	0.5 (0.0)	0.0 (0.0)	1.84 (0.1)	0.5 (0.0)	0.0 (0.0)	0.76 (0.05)	0.51 (0.26)	0.0 (0.0)	0.81 (0.07)	0.54 (0.34)	0.0 (0.0)	0.84 (0.05)	0.56 (0.36)	0.0 (0.0)	0.82 (0.05)	0.48 (0.31)	0.0 (0.0)	0.83 (0.06)	0.56 (0.31)	0.0 (0.0)	0.71 (0.07)	0.5 (0.31)	0.0 (0.0)	0.72 (0.08)	0.56 (0.36)	0.0 (0.0)	0.81 (0.05)	0.52 (0.29)	0.0 (0.0)	0.72 (0.08)	0.54 (0.34)	0.0 (0.0)	0.91 (0.08)	0.46 (0.45)	0.2 (0.45)	0.9 (0.06)	0.53 (0.42)	0.2 (0.45)	0.84 (0.05)	0.42 (0.31)	0.0 (0.0)	0.89 (0.06)	0.46 (0.45)	0.2 (0.45)	0.75 (0.09)	0.52 (0.37)	0.2 (0.45)	0.79 (0.08)	0.62 (0.32)	0.0 (0.0)	0.83 (0.06)	0.54 (0.34)	0.2 (0.45)	0.79 (0.08)	0.62 (0.32)	0.0 (0.0)
VirusGO	embedding_proba__6	12.15 (0.23)	0.6 (0.0)	0.0 (0.0)	10.04 (0.27)	0.6 (0.0)	0.0 (0.0)	2.11 (0.11)	0.6 (0.0)	0.0 (0.0)	0.77 (0.04)	0.51 (0.26)	0.0 (0.0)	0.81 (0.06)	0.58 (0.29)	0.2 (0.45)	0.84 (0.04)	0.52 (0.32)	0.0 (0.0)	0.83 (0.03)	0.54 (0.32)	0.0 (0.0)	0.83 (0.04)	0.48 (0.33)	0.0 (0.0)	0.71 (0.07)	0.56 (0.3)	0.2 (0.45)	0.72 (0.06)	0.52 (0.32)	0.0 (0.0)	0.81 (0.03)	0.54 (0.32)	0.0 (0.0)	0.72 (0.06)	0.48 (0.33)	0.0 (0.0)	0.95 (0.02)	0.54 (0.18)	0.0 (0.0)	0.9 (0.01)	0.5 (0.16)	0.0 (0.0)	0.85 (0.04)	0.57 (0.3)	0.2 (0.45)	0.92 (0.01)	0.56 (0.11)	0.0 (0.0)	0.75 (0.07)	0.6 (0.31)	0.2 (0.45)	0.79 (0.06)	0.56 (0.38)	0.0 (0.0)	0.83 (0.04)	0.6 (0.29)	0.0 (0.0)	0.79 (0.06)	0.56 (0.38)	0.0 (0.0)
VirusGO	embedding_proba__7	13.85 (0.3)	0.7 (0.0)	0.0 (0.0)	11.42 (0.29)	0.7 (0.0)	0.0 (0.0)	2.43 (0.06)	0.7 (0.0)	0.0 (0.0)	0.76 (0.03)	0.54 (0.26)	0.0 (0.0)	0.83 (0.03)	0.56 (0.18)	0.0 (0.0)	0.85 (0.02)	0.59 (0.19)	0.0 (0.0)	0.84 (0.04)	0.64 (0.34)	0.2 (0.45)	0.84 (0.02)	0.62 (0.22)	0.0 (0.0)	0.74 (0.02)	0.64 (0.11)	0.0 (0.0)	0.74 (0.04)	0.59 (0.19)	0.0 (0.0)	0.82 (0.04)	0.6 (0.28)	0.0 (0.0)	0.74 (0.03)	0.62 (0.22)	0.0 (0.0)	0.95 (0.03)	0.61 (0.27)	0.0 (0.0)	0.91 (0.05)	0.6 (0.29)	0.0 (0.0)	0.87 (0.05)	0.72 (0.33)	0.2 (0.45)	0.92 (0.04)	0.56 (0.32)	0.2 (0.45)	0.77 (0.04)	0.6 (0.21)	0.0 (0.0)	0.79 (0.05)	0.59 (0.3)	0.2 (0.45)	0.83 (0.05)	0.66 (0.34)	0.2 (0.45)	0.79 (0.05)	0.59 (0.3)	0.2 (0.45)
VirusGO	embedding_proba__8	15.49 (0.44)	0.8 (0.0)	0.0 (0.0)	12.84 (0.43)	0.8 (0.0)	0.0 (0.0)	2.66 (0.05)	0.8 (0.0)	0.0 (0.0)	0.75 (0.05)	0.46 (0.25)	0.0 (0.0)	0.81 (0.04)	0.46 (0.22)	0.0 (0.0)	0.83 (0.04)	0.4 (0.23)	0.0 (0.0)	0.82 (0.04)	0.42 (0.22)	0.0 (0.0)	0.82 (0.04)	0.46 (0.19)	0.0 (0.0)	0.71 (0.04)	0.46 (0.18)	0.0 (0.0)	0.71 (0.05)	0.4 (0.23)	0.0 (0.0)	0.8 (0.04)	0.48 (0.22)	0.0 (0.0)	0.71 (0.05)	0.42 (0.22)	0.0 (0.0)	0.94 (0.03)	0.63 (0.2)	0.0 (0.0)	0.91 (0.05)	0.5 (0.33)	0.0 (0.0)	0.85 (0.04)	0.49 (0.27)	0.0 (0.0)	0.92 (0.03)	0.64 (0.18)	0.0 (0.0)	0.74 (0.03)	0.5 (0.14)	0.0 (0.0)	0.76 (0.03)	0.47 (0.16)	0.0 (0.0)	0.81 (0.04)	0.42 (0.23)	0.0 (0.0)	0.76 (0.03)	0.47 (0.16)	0.0 (0.0)
VirusGO	embedding_proba__9	17.38 (0.33)	0.9 (0.0)	0.0 (0.0)	14.38 (0.35)	0.9 (0.0)	0.0 (0.0)	3.0 (0.1)	0.9 (0.0)	0.0 (0.0)	0.75 (0.06)	0.59 (0.35)	0.0 (0.0)	0.82 (0.04)	0.56 (0.3)	0.0 (0.0)	0.83 (0.06)	0.56 (0.32)	0.0 (0.0)	0.82 (0.07)	0.64 (0.34)	0.2 (0.45)	0.82 (0.06)	0.56 (0.31)	0.0 (0.0)	0.72 (0.06)	0.56 (0.32)	0.0 (0.0)	0.71 (0.09)	0.56 (0.32)	0.0 (0.0)	0.81 (0.07)	0.58 (0.33)	0.0 (0.0)	0.71 (0.09)	0.54 (0.3)	0.0 (0.0)	0.94 (0.05)	0.62 (0.38)	0.4 (0.55)	0.91 (0.07)	0.58 (0.37)	0.2 (0.45)	0.85 (0.09)	0.58 (0.34)	0.2 (0.45)	0.91 (0.07)	0.6 (0.41)	0.4 (0.55)	0.75 (0.04)	0.48 (0.24)	0.0 (0.0)	0.77 (0.07)	0.54 (0.25)	0.0 (0.0)	0.81 (0.07)	0.58 (0.29)	0.0 (0.0)	0.77 (0.07)	0.54 (0.25)	0.0 (0.0)
