dataset	estimator	fit_score_time	fit_score_time_rank	fit_score_time_victories	fit_time	fit_time_rank	fit_time_victories	score_time	score_time_rank	score_time_victories	test_accuracy	test_accuracy_rank	test_accuracy_victories	test_f1_macro	test_f1_macro_rank	test_f1_macro_victories	test_f1_micro	test_f1_micro_rank	test_f1_micro_victories	test_f1_samples	test_f1_samples_rank	test_f1_samples_victories	test_f1_weighted	test_f1_weighted_rank	test_f1_weighted_victories	test_jaccard_macro	test_jaccard_macro_rank	test_jaccard_macro_victories	test_jaccard_micro	test_jaccard_micro_rank	test_jaccard_micro_victories	test_jaccard_samples	test_jaccard_samples_rank	test_jaccard_samples_victories	test_jaccard_weighted	test_jaccard_weighted_rank	test_jaccard_weighted_victories	test_precision_macro	test_precision_macro_rank	test_precision_macro_victories	test_precision_micro	test_precision_micro_rank	test_precision_micro_victories	test_precision_samples	test_precision_samples_rank	test_precision_samples_victories	test_precision_weighted	test_precision_weighted_rank	test_precision_weighted_victories	test_recall_macro	test_recall_macro_rank	test_recall_macro_victories	test_recall_micro	test_recall_micro_rank	test_recall_micro_victories	test_recall_samples	test_recall_samples_rank	test_recall_samples_victories	test_recall_weighted	test_recall_weighted_rank	test_recall_weighted_victories
birds	proba	9.68 (0.18)	0.25 (0.0)	0.0 (0.0)	7.77 (0.09)	0.25 (0.0)	0.0 (0.0)	1.92 (0.11)	0.35 (0.14)	0.0 (0.0)	0.54 (0.02)	0.85 (0.22)	0.6 (0.55)	0.29 (0.03)	0.55 (0.11)	0.0 (0.0)	0.47 (0.06)	0.95 (0.11)	0.8 (0.45)	0.18 (0.03)	0.9 (0.22)	0.8 (0.45)	0.4 (0.05)	0.75 (0.25)	0.4 (0.55)	0.21 (0.02)	0.7 (0.21)	0.2 (0.45)	0.31 (0.05)	0.95 (0.11)	0.8 (0.45)	0.16 (0.03)	0.95 (0.11)	0.8 (0.45)	0.29 (0.05)	0.8 (0.21)	0.4 (0.55)	0.53 (0.09)	0.9 (0.14)	0.6 (0.55)	0.78 (0.07)	0.75 (0.0)	0.0 (0.0)	0.23 (0.04)	0.95 (0.11)	0.8 (0.45)	0.62 (0.09)	0.8 (0.21)	0.4 (0.55)	0.23 (0.03)	0.5 (0.0)	0.0 (0.0)	0.34 (0.05)	0.6 (0.22)	0.2 (0.45)	0.17 (0.02)	0.65 (0.14)	0.0 (0.0)	0.34 (0.05)	0.6 (0.22)	0.2 (0.45)
birds	proba_weak	19.13 (0.12)	0.5 (0.0)	0.0 (0.0)	17.23 (0.13)	0.5 (0.0)	0.0 (0.0)	1.9 (0.06)	0.4 (0.14)	0.0 (0.0)	0.53 (0.04)	0.65 (0.34)	0.4 (0.55)	0.35 (0.03)	0.95 (0.11)	0.8 (0.45)	0.44 (0.03)	0.8 (0.11)	0.2 (0.45)	0.17 (0.02)	0.75 (0.18)	0.2 (0.45)	0.43 (0.04)	0.9 (0.14)	0.6 (0.55)	0.24 (0.02)	0.95 (0.11)	0.8 (0.45)	0.28 (0.03)	0.8 (0.11)	0.2 (0.45)	0.14 (0.02)	0.75 (0.18)	0.2 (0.45)	0.3 (0.03)	0.85 (0.22)	0.6 (0.55)	0.5 (0.08)	0.8 (0.21)	0.4 (0.55)	0.54 (0.05)	0.5 (0.0)	0.0 (0.0)	0.19 (0.02)	0.8 (0.11)	0.2 (0.45)	0.59 (0.06)	0.9 (0.14)	0.6 (0.55)	0.31 (0.03)	0.75 (0.0)	0.0 (0.0)	0.37 (0.03)	0.75 (0.18)	0.2 (0.45)	0.18 (0.02)	0.75 (0.25)	0.4 (0.55)	0.37 (0.03)	0.75 (0.18)	0.2 (0.45)
emotions	embedding	30.5 (1.71)	0.75 (0.0)	0.0 (0.0)	24.83 (1.68)	0.75 (0.0)	0.0 (0.0)	5.67 (0.05)	1.0 (0.0)	1.0 (0.0)	0.32 (0.03)	0.6 (0.34)	0.2 (0.45)	0.61 (0.01)	0.35 (0.14)	0.0 (0.0)	0.66 (0.01)	0.5 (0.25)	0.0 (0.0)	0.61 (0.03)	0.5 (0.25)	0.0 (0.0)	0.63 (0.01)	0.4 (0.22)	0.0 (0.0)	0.46 (0.01)	0.45 (0.21)	0.0 (0.0)	0.49 (0.01)	0.5 (0.25)	0.0 (0.0)	0.54 (0.02)	0.45 (0.21)	0.0 (0.0)	0.48 (0.01)	0.45 (0.21)	0.0 (0.0)	0.76 (0.04)	0.65 (0.22)	0.2 (0.45)	0.74 (0.02)	0.6 (0.22)	0.2 (0.45)	0.68 (0.04)	0.65 (0.38)	0.4 (0.55)	0.75 (0.04)	0.65 (0.22)	0.2 (0.45)	0.57 (0.02)	0.5 (0.18)	0.0 (0.0)	0.6 (0.02)	0.5 (0.25)	0.0 (0.0)	0.6 (0.03)	0.5 (0.25)	0.0 (0.0)	0.6 (0.02)	0.5 (0.25)	0.0 (0.0)
emotions	embedding_weak	44.78 (0.71)	1.0 (0.0)	1.0 (0.0)	41.63 (0.75)	1.0 (0.0)	1.0 (0.0)	3.14 (0.08)	0.25 (0.0)	0.0 (0.0)	0.34 (0.02)	0.85 (0.22)	0.6 (0.55)	0.65 (0.03)	0.65 (0.34)	0.4 (0.55)	0.68 (0.03)	0.7 (0.41)	0.6 (0.55)	0.64 (0.03)	0.85 (0.22)	0.6 (0.55)	0.66 (0.03)	0.75 (0.35)	0.6 (0.55)	0.5 (0.04)	0.65 (0.38)	0.4 (0.55)	0.52 (0.03)	0.7 (0.41)	0.6 (0.55)	0.56 (0.03)	0.85 (0.22)	0.6 (0.55)	0.51 (0.03)	0.7 (0.41)	0.6 (0.55)	0.72 (0.04)	0.35 (0.14)	0.0 (0.0)	0.71 (0.03)	0.35 (0.22)	0.0 (0.0)	0.68 (0.03)	0.65 (0.22)	0.2 (0.45)	0.72 (0.03)	0.35 (0.14)	0.0 (0.0)	0.63 (0.04)	0.8 (0.33)	0.6 (0.55)	0.65 (0.04)	0.85 (0.22)	0.6 (0.55)	0.66 (0.03)	0.85 (0.22)	0.6 (0.55)	0.65 (0.04)	0.85 (0.22)	0.6 (0.55)
emotions	proba	12.67 (0.05)	0.25 (0.0)	0.0 (0.0)	8.89 (0.06)	0.25 (0.0)	0.0 (0.0)	3.78 (0.03)	0.6 (0.14)	0.0 (0.0)	0.31 (0.03)	0.48 (0.31)	0.0 (0.0)	0.63 (0.02)	0.75 (0.18)	0.2 (0.45)	0.66 (0.01)	0.55 (0.11)	0.0 (0.0)	0.59 (0.02)	0.45 (0.21)	0.0 (0.0)	0.64 (0.01)	0.65 (0.14)	0.0 (0.0)	0.48 (0.02)	0.6 (0.14)	0.0 (0.0)	0.5 (0.01)	0.55 (0.11)	0.0 (0.0)	0.52 (0.02)	0.45 (0.21)	0.0 (0.0)	0.49 (0.01)	0.6 (0.14)	0.0 (0.0)	0.78 (0.05)	0.8 (0.33)	0.6 (0.55)	0.76 (0.03)	0.75 (0.31)	0.4 (0.55)	0.65 (0.04)	0.45 (0.33)	0.2 (0.45)	0.77 (0.04)	0.8 (0.33)	0.6 (0.55)	0.57 (0.02)	0.5 (0.25)	0.0 (0.0)	0.59 (0.02)	0.5 (0.25)	0.0 (0.0)	0.6 (0.02)	0.45 (0.21)	0.0 (0.0)	0.59 (0.02)	0.5 (0.25)	0.0 (0.0)
emotions	proba_weak	21.65 (4.3)	0.5 (0.0)	0.0 (0.0)	17.87 (4.32)	0.5 (0.0)	0.0 (0.0)	3.78 (0.03)	0.65 (0.14)	0.0 (0.0)	0.32 (0.03)	0.57 (0.17)	0.0 (0.0)	0.64 (0.03)	0.75 (0.31)	0.4 (0.55)	0.68 (0.02)	0.75 (0.31)	0.4 (0.55)	0.61 (0.04)	0.7 (0.33)	0.4 (0.55)	0.65 (0.02)	0.7 (0.33)	0.4 (0.55)	0.49 (0.03)	0.8 (0.33)	0.6 (0.55)	0.51 (0.03)	0.75 (0.31)	0.4 (0.55)	0.54 (0.04)	0.75 (0.31)	0.4 (0.55)	0.51 (0.03)	0.75 (0.31)	0.4 (0.55)	0.78 (0.04)	0.7 (0.27)	0.2 (0.45)	0.76 (0.03)	0.8 (0.21)	0.4 (0.55)	0.67 (0.04)	0.75 (0.18)	0.2 (0.45)	0.77 (0.03)	0.7 (0.27)	0.2 (0.45)	0.59 (0.05)	0.7 (0.33)	0.4 (0.55)	0.61 (0.05)	0.65 (0.34)	0.4 (0.55)	0.61 (0.06)	0.7 (0.33)	0.4 (0.55)	0.61 (0.05)	0.65 (0.34)	0.4 (0.55)
enron	embedding	173.88 (2.82)	0.95 (0.11)	0.8 (0.45)	166.31 (3.75)	0.95 (0.11)	0.8 (0.45)	7.57 (0.98)	0.95 (0.11)	0.8 (0.45)	0.13 (0.01)	1.0 (0.0)	1.0 (0.0)	0.18 (0.02)	0.4 (0.14)	0.0 (0.0)	0.54 (0.01)	0.95 (0.11)	0.8 (0.45)	0.52 (0.01)	0.95 (0.11)	0.8 (0.45)	0.47 (0.01)	0.45 (0.11)	0.0 (0.0)	0.12 (0.01)	0.45 (0.11)	0.0 (0.0)	0.37 (0.01)	0.95 (0.11)	0.8 (0.45)	0.42 (0.01)	0.95 (0.11)	0.8 (0.45)	0.36 (0.01)	0.55 (0.21)	0.0 (0.0)	0.33 (0.03)	0.9 (0.14)	0.6 (0.55)	0.71 (0.03)	1.0 (0.0)	1.0 (0.0)	0.68 (0.02)	1.0 (0.0)	1.0 (0.0)	0.61 (0.02)	1.0 (0.0)	1.0 (0.0)	0.15 (0.02)	0.45 (0.11)	0.0 (0.0)	0.44 (0.01)	0.35 (0.14)	0.0 (0.0)	0.47 (0.01)	0.5 (0.18)	0.0 (0.0)	0.44 (0.01)	0.35 (0.14)	0.0 (0.0)
enron	embedding_weak	169.37 (6.49)	0.8 (0.11)	0.2 (0.45)	162.46 (7.42)	0.8 (0.11)	0.2 (0.45)	6.91 (0.98)	0.8 (0.11)	0.2 (0.45)	0.08 (0.01)	0.45 (0.27)	0.0 (0.0)	0.23 (0.01)	0.85 (0.14)	0.4 (0.55)	0.48 (0.01)	0.3 (0.11)	0.0 (0.0)	0.48 (0.02)	0.4 (0.14)	0.0 (0.0)	0.5 (0.02)	0.9 (0.14)	0.6 (0.55)	0.15 (0.01)	0.9 (0.14)	0.6 (0.55)	0.32 (0.01)	0.3 (0.11)	0.0 (0.0)	0.37 (0.02)	0.4 (0.14)	0.0 (0.0)	0.37 (0.01)	0.8 (0.27)	0.6 (0.55)	0.26 (0.01)	0.4 (0.22)	0.0 (0.0)	0.48 (0.02)	0.35 (0.14)	0.0 (0.0)	0.59 (0.02)	0.45 (0.11)	0.0 (0.0)	0.56 (0.02)	0.45 (0.11)	0.0 (0.0)	0.26 (0.02)	0.85 (0.14)	0.4 (0.55)	0.49 (0.02)	0.85 (0.14)	0.4 (0.55)	0.5 (0.02)	0.85 (0.22)	0.6 (0.55)	0.49 (0.02)	0.85 (0.14)	0.4 (0.55)
enron	proba	11.27 (0.11)	0.25 (0.0)	0.0 (0.0)	8.87 (0.16)	0.25 (0.0)	0.0 (0.0)	2.4 (0.14)	0.35 (0.14)	0.0 (0.0)	0.08 (0.01)	0.5 (0.18)	0.0 (0.0)	0.17 (0.03)	0.35 (0.14)	0.0 (0.0)	0.54 (0.02)	0.8 (0.11)	0.2 (0.45)	0.5 (0.02)	0.6 (0.29)	0.2 (0.45)	0.46 (0.02)	0.3 (0.11)	0.0 (0.0)	0.12 (0.02)	0.3 (0.11)	0.0 (0.0)	0.37 (0.02)	0.8 (0.11)	0.2 (0.45)	0.39 (0.02)	0.6 (0.29)	0.2 (0.45)	0.35 (0.02)	0.3 (0.11)	0.0 (0.0)	0.31 (0.05)	0.75 (0.31)	0.4 (0.55)	0.68 (0.01)	0.75 (0.0)	0.0 (0.0)	0.64 (0.01)	0.75 (0.0)	0.0 (0.0)	0.59 (0.02)	0.7 (0.11)	0.0 (0.0)	0.14 (0.02)	0.3 (0.11)	0.0 (0.0)	0.45 (0.03)	0.4 (0.14)	0.0 (0.0)	0.45 (0.03)	0.3 (0.11)	0.0 (0.0)	0.45 (0.03)	0.4 (0.14)	0.0 (0.0)
enron	proba_weak	27.62 (0.49)	0.5 (0.0)	0.0 (0.0)	25.21 (0.52)	0.5 (0.0)	0.0 (0.0)	2.41 (0.04)	0.4 (0.14)	0.0 (0.0)	0.08 (0.01)	0.55 (0.21)	0.0 (0.0)	0.23 (0.01)	0.9 (0.14)	0.6 (0.55)	0.5 (0.01)	0.45 (0.11)	0.0 (0.0)	0.51 (0.02)	0.55 (0.27)	0.0 (0.0)	0.51 (0.02)	0.85 (0.14)	0.4 (0.55)	0.16 (0.01)	0.85 (0.14)	0.4 (0.55)	0.34 (0.01)	0.45 (0.11)	0.0 (0.0)	0.39 (0.02)	0.55 (0.27)	0.0 (0.0)	0.38 (0.02)	0.85 (0.14)	0.4 (0.55)	0.26 (0.01)	0.45 (0.11)	0.0 (0.0)	0.49 (0.01)	0.4 (0.14)	0.0 (0.0)	0.59 (0.01)	0.3 (0.11)	0.0 (0.0)	0.55 (0.01)	0.35 (0.22)	0.0 (0.0)	0.27 (0.03)	0.9 (0.14)	0.6 (0.55)	0.52 (0.03)	0.9 (0.14)	0.6 (0.55)	0.52 (0.03)	0.85 (0.14)	0.4 (0.55)	0.52 (0.03)	0.9 (0.14)	0.6 (0.55)
